id	family	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	example_as_in_source	example	translation_as_in_source	translation	gloss	example_comment	example_source	example_page	contributor	date
145	Kartvelian	Georgic	Georgian	Qax	village	no	yes	Maize	other	Type of name	simindi - Georgian	Name origin	smindi	smindi	кукуруза	maize			DagLoans database	Qax5, Qax6	Samira Verhees	March 2025
191	Indo-European	Armenic	Armenian	Kapan	village	no	no	Maize	other wheat	Type of name	Egyptian wheat	Name origin	jegiptacʰoren	jegiptacʰoren	кукуруза	maize			Maxim Stepanyants, p.c.		Samira Verhees	March 2025
146	Kartvelian	Georgic	Georgian	Standard Georgian	lang	yes	yes	Maize	other	Type of name	simindi - Georgian	Name origin	სიმინდი	simindi	maize (Zea mays)	maize			rayfield2006	1160	Samira Verhees	March 2025
43	East Caucasian	Andic	Godoberi	Godoberi	village	yes	yes	Maize	hajj-wheat	Type of name	ħæžkʼa - Chechen	Name origin	х1ежинк1я	ħežinkʼʲa	кукуруза	maize			saidova2006	298	Samira Verhees	March 2025
112	East Caucasian	Andic	Godoberi	Zibirkhali	village	no	yes	Maize	hajj-wheat	Type of name	ħæžkʼa - Chechen	Name origin	х1ежинк1а	ħežinkʼa	кукуруза	maize			saidova2006	298	Samira Verhees	March 2025
171	East Caucasian	Tsezic	Hinuq	Hinuq	village	yes	yes	Maize	other	Type of name	simindi - Georgian	Name origin	СИМИЛДИ // СИМИНДИ	simildi // simindi	кукуруза	maize			xalilovisakov2005	113	Samira Verhees	March 2025
45	East Caucasian	Tsezic	Hunzib	Hunzib	lang	yes	yes	Maize	other	Type of name	simindi - Georgian	Name origin	симинди	simindi	кукуруза	maize			isakovxalilov2001	148	Samira Verhees	March 2025
46	East Caucasian	Nakh	Ingush	Standard Ingush	lang	yes	yes	Maize	hajj-wheat	Type of name	ħæžkʼa - Chechen	Name origin	ХЬАЖКIА	ħažkʼa	кукуруза	maize			bekoevetal2009	731	Samira Verhees	March 2025
113	East Caucasian	Dargwa	Kaitag	Dzhavgat	village	no	yes	Maize	hajj-wheat	Type of name	calque	Name origin	гьяжилач1и	haˤžilačʼi	кукуруза	maize			DagLoans database	Dzhavgat3, Dzhavgat4	Samira Verhees	March 2025
8	East Caucasian	Dargwa	Kaitag	Dzhibakhni	village	no	yes	Maize	hajj-wheat	Type of name	calque	Name origin	гьяжилач1и	haˤžilačʼi	кукуруза	maize			DagLoans database	Dzhibakhni1	Samira Verhees	March 2025
2	East Caucasian	Andic	Karata	Anchiq	village	no	yes	Maize	other wheat	Type of name	unclear	Name origin	ц1орокъори	cʼoroqʼori	кукуруза	maize			DagLoans database	Anchikh1	Samira Verhees	March 2025
117	East Caucasian	Andic	Karata	Karata	village	yes	yes	Maize	other wheat	Type of name	unclear	Name origin	щамакъеру	šːamaqʼeru	кукуруза	maize			DagLoans database	Karata4	Samira Verhees	March 2025
118	East Caucasian	Andic	Karata	Tukita	village	no	yes	Maize	hajj-wheat	Type of name	calque	Name origin	х1ежкъир	ħežqʼir	кукуруза	maize			magomedovaxalidova2001	302, 332	Samira Verhees	March 2025
48	East Caucasian	Khinalug	Khinalug	Khinalug	lang	no	yes	Maize	other	Type of name	kukuruza - Russian	Name origin	кокруз	kokruz	кукуруза	maize			ganieva2002	155	Samira Verhees	March 2025
172	East Caucasian	Khinalug	Khinalug	Khinalug	lang	yes	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	КЪОРг1АЬДАЛи	qːorʕædali	кукуруза	maize			ganieva2002	176	Samira Verhees	March 2025
49	East Caucasian	Tsezic	Khwarshi	Inkhoqwari	village	yes	yes	Maize	other	Type of name	unclear	Name origin	чакар	čakar	кукуруза	maize			dzhidalaevetal2022	593	Samira Verhees	March 2025
50	East Caucasian	Lezgic	Kryz	Kryz	village	yes	yes	Maize	other	Type of name	kukuruza - Russian	Name origin	kakruz	kakruz	maize, corn	maize			hummatovrindpawlowski2020	191	Samira Verhees	March 2025
51	Turkic	Kipchak	Kumyk	Standard Kumyk	lang	yes	yes	Maize	hajj-wheat	Type of name	unclear	Name origin	ГЬАБИЖАЙ	habižaj	кукуруза	maize			bammatov2013	94	Samira Verhees	March 2025
110	East Caucasian	Andic	Godoberi	Zibirkhali	village	no	no	Maize	other	Type of name	unclear	Name origin	т1ука	tʼuka	КУКУРУЗА (жареная)	roasted maize kernels			saidova2006	275	Samira Verhees	March 2025
111	East Caucasian	Andic	Godoberi	Godoberi	village	no	no	Maize	other	Type of name	unclear	Name origin	т1уке	tʼuke	воздушная кукуруза	roasted maize kernels			saidova2006	275	Samira Verhees	March 2025
109	East Caucasian	Andic	Godoberi	Godoberi	village	no	no	Maize	other	Type of name	unclear	Name origin	т1укя	tʼukʲa	КУКУРУЗА (жареная)	roasted maize kernels			saidova2006	275	Samira Verhees	March 2025
176	East Caucasian	Lak	Lak	Standard Lak	lang	no	yes	Maize	hajj-wheat	Type of name	ħæžkʼa - Chechen	Name origin	Х1АЖИК1А	ħažikʼa	кукуруза	maize			abdullaev2018	2206	Samira Verhees	March 2025
177	East Caucasian	Lak	Lak	Standard Lak	lang	no	yes	Maize	hajj-wheat	Type of name	calque	Name origin	Х1АЖЛУЛ ЛАЧ1А	ħažul lačʼa	диал. кукуруза	maize			abdullaev2018	2206	Samira Verhees	March 2025
178	East Caucasian	Lak	Lak	Standard Lak	lang	yes	yes	Maize	other wheat	Type of name	king-wheat	Name origin	шагьнал лач1а	šahnal lačʼa	кукуруза	maize		шагь = shah	abdullaev2018	1407	Samira Verhees	March 2025
3	East Caucasian	Lezgic	Lezgian	Ashaga-Arkhit	village	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гьажибугъда	hažibuʁda	кукуруза	maize			DagLoans database	Arkhit3, Arkhit6	Samira Verhees	March 2025
151	East Caucasian	Lezgic	Lezgian	Ashaga-Tsinit	village	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гьажибугъда	hažibuʁda	кукуруза	maize			DagLoans database	Tsinit1, Tsinit3, Tsinit4	Samira Verhees	March 2025
